id,atc,name,dc_code,other_code,dc_name,other_name,random,path,cdist,res,jcn,lin,wup,lch,nam
22,C09AA05,ramipril                                                                                                                                                                                                                                                  ,C1997351,C1565489,Left ventricular cardiac dysfunction,renal insufficiencies,0,-1,-1,-1,-1,-1,-1,-1,-1
23,C07AG01,labetalol                                                                                                                                                                                                                                                 ,C0020538,C1753303,Hypertensive disease ,control of blood pressure,0,-1,-1,-1,-1,-1,-1,-1,-1
24,C07AG01,labetalol                                                                                                                                                                                                                                                 ,C0020538,C4013784,Hypertensive disease ,Hypertension severe,0,-1,-1,-1,-1,-1,-1,-1,-1
25,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0235480,C0039232,fibrillation atrial paroxysmal,Tachycardia Atrioventricular Nodal Reentry,0,-1,-1,-1,-1,-1,-1,-1,-1
26,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0235480,C0085612,fibrillation atrial paroxysmal,Ventricular arrhythmia ,0,-1,-1,-1,-1,-1,-1,-1,-1
27,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0235480,C0741292,fibrillation atrial paroxysmal,Paroxysmal atrial flutter,0,-1,-1,-1,-1,-1,-1,-1,-1
28,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0235480,C0039240,fibrillation atrial paroxysmal,Supraventricular tachycardia ,0,-1,-1,-1,-1,-1,-1,-1,-1
29,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0235480,C0004238,fibrillation atrial paroxysmal,Fibrillation - atrial,0,-1,-1,-1,-1,-1,-1,-1,-1
30,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0741292,C0039232,Paroxysmal atrial flutter,Tachycardia Atrioventricular Nodal Reentry,0,-1,-1,-1,-1,-1,-1,-1,-1
31,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0741292,C0235480,Paroxysmal atrial flutter,fibrillation atrial paroxysmal,0,-1,-1,-1,-1,-1,-1,-1,-1
32,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0741292,C0085612,Paroxysmal atrial flutter,Ventricular arrhythmia ,0,-1,-1,-1,-1,-1,-1,-1,-1
33,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0741292,C0039240,Paroxysmal atrial flutter,Supraventricular tachycardia ,0,-1,-1,-1,-1,-1,-1,-1,-1
34,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0741292,C0004238,Paroxysmal atrial flutter,Fibrillation - atrial,0,-1,-1,-1,-1,-1,-1,-1,-1
35,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0004238,C0039232,Fibrillation - atrial,Tachycardia Atrioventricular Nodal Reentry,0,0.2,0.2,3.4313,0.296,0.6701,0.7273,2.0794,0.1679
36,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0004238,C0235480,Fibrillation - atrial,fibrillation atrial paroxysmal,0,-1,-1,-1,-1,-1,-1,-1,-1
37,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0004238,C0085612,Fibrillation - atrial,Ventricular arrhythmia ,0,-1,-1,-1,-1,-1,-1,-1,-1
38,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0004238,C0741292,Fibrillation - atrial,Paroxysmal atrial flutter,0,-1,-1,-1,-1,-1,-1,-1,-1
39,C01BC04,flecainide                                                                                                                                                                                                                                                ,C0004238,C0039240,Fibrillation - atrial,Supraventricular tachycardia ,0,0.25,0.25,3.4313,0.3693,0.7171,0.7619,2.3026,0.1772
40,C03DB01,amiloride                                                                                                                                                                                                                                                 ,C0013604,C0018801,Oedema ,Heart failure ,0,0.1429,0.1429,0.9555,0.1625,0.237,0.5556,1.743,0.1483
41,C03DB01,amiloride                                                                                                                                                                                                                                                 ,C0013604,C0020538,Oedema ,Hypertensive disease ,0,0.1429,0.1429,0.9555,0.1799,0.2558,0.5556,1.743,0.1483
42,C03DB01,amiloride                                                                                                                                                                                                                                                 ,C0013604,C1514284,Oedema ,Potassium Deficiency Disorder,0,-1,-1,-1,-1,-1,-1,-1,-1
43,C03DB01,amiloride                                                                                                                                                                                                                                                 ,C0013604,C0018802,Oedema ,Failure Congestive Heart,0,-1,-1,-1,-1,-1,-1,-1,-1
44,C09CA04,irbesartan                                                                                                                                                                                                                                                ,C0011881,C0038454,Nephropathy - diabetic,Cerebrovascular accident ,0,0.1111,0.1111,0.9555,0.1495,0.2222,0.5,1.4917,0.1409
45,C09CA04,irbesartan                                                                                                                                                                                                                                                ,C0011881,C0020538,Nephropathy - diabetic,Hypertensive disease ,0,0.125,0.125,0.9555,0.1579,0.2318,0.5263,1.6094,0.1443
46,C09CA04,irbesartan                                                                                                                                                                                                                                                ,C0011881,C0027051,Nephropathy - diabetic,Myocardial infarction ,0,0.1111,0.1111,0.9555,0.1488,0.2214,0.5,1.4917,0.1409
47,C09CA04,irbesartan                                                                                                                                                                                                                                                ,C0011881,C0033687,Nephropathy - diabetic,Proteinuria ,0,0.2,0.2,2.8716,0.2844,0.6203,0.7273,2.0794,0.1649
48,C09CA04,irbesartan                                                                                                                                                                                                                                                ,C0011881,C0007820,?,?,0,0.125,0.125,0.9555,0.1559,0.2296,0.5263,1.6094,0.1443
49,L01DB03,epirubicin                                                                                                                                                                                                                                                ,C0678222,C2216708,?,?,0,-1,-1,-1,-1,-1,-1,-1,-1
50,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0342907,Hyperlipidaemia ,sitosterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
51,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0020474,Hyperlipidaemia ,Familial combined hyperlipidaemia,0,0.5,0.5,4.231,0.4945,0.8071,0.8696,2.9957,0.2242
52,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C2047520,Hyperlipidaemia ,Mixed hyperlipidemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
53,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0020443,Hyperlipidaemia ,Hypercholesterolaemia ,0,0.5,0.5,4.231,2.3401,0.9519,0.8696,2.9957,0.2242
54,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0020445,Hyperlipidaemia ,familial hypercholesterolaemia,0,0.3333,0.3333,4.231,0.7538,0.8645,0.8333,2.5903,0.2
55,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0002940,Hyperlipidaemia ,Aneurysm ,0,0.1111,0.1111,0.9555,0.1658,0.2407,0.5,1.4917,0.1409
56,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0333482,Hyperlipidaemia ,atherosclerotic,0,-1,-1,-1,-1,-1,-1,-1,-1
57,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0752130,Hyperlipidaemia ,Ischemia of spinal cord,0,0.1,0.1,0.9555,0.1215,0.1885,0.4762,1.3863,0.138
58,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0004153,Hyperlipidaemia ,Atherosclerosis ,0,0.0909,0.0909,0.9555,0.1519,0.225,0.4545,1.291,0.1354
59,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0342881,Hyperlipidaemia ,Familial hypercholesterolemia - homozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
60,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0752127,Hyperlipidaemia ,Vascular Diseases Spinal Cord,0,0.1111,0.1111,0.9555,0.1217,0.1887,0.5,1.4917,0.1409
61,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020473,C0342882,Hyperlipidaemia ,Familial hypercholesterolemia - heterozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
62,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0342907,Familial hypercholesterolemia - homozygous,sitosterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
63,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0020474,Familial hypercholesterolemia - homozygous,Familial combined hyperlipidaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
64,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C2047520,Familial hypercholesterolemia - homozygous,Mixed hyperlipidemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
65,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0020443,Familial hypercholesterolemia - homozygous,Hypercholesterolaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
66,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0020445,Familial hypercholesterolemia - homozygous,familial hypercholesterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
67,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0002940,Familial hypercholesterolemia - homozygous,Aneurysm ,0,-1,-1,-1,-1,-1,-1,-1,-1
68,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0333482,Familial hypercholesterolemia - homozygous,atherosclerotic,0,-1,-1,-1,-1,-1,-1,-1,-1
69,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0752130,Familial hypercholesterolemia - homozygous,Ischemia of spinal cord,0,-1,-1,-1,-1,-1,-1,-1,-1
70,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0020473,Familial hypercholesterolemia - homozygous,Hyperlipidaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
71,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0004153,Familial hypercholesterolemia - homozygous,Atherosclerosis ,0,-1,-1,-1,-1,-1,-1,-1,-1
72,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0752127,Familial hypercholesterolemia - homozygous,Vascular Diseases Spinal Cord,0,-1,-1,-1,-1,-1,-1,-1,-1
73,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342881,C0342882,Familial hypercholesterolemia - homozygous,Familial hypercholesterolemia - heterozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
74,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0020474,sitosterolaemia,Familial combined hyperlipidaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
75,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C2047520,sitosterolaemia,Mixed hyperlipidemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
76,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0020443,sitosterolaemia,Hypercholesterolaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
77,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0020445,sitosterolaemia,familial hypercholesterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
78,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0002940,sitosterolaemia,Aneurysm ,0,-1,-1,-1,-1,-1,-1,-1,-1
79,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0333482,sitosterolaemia,atherosclerotic,0,-1,-1,-1,-1,-1,-1,-1,-1
80,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0752130,sitosterolaemia,Ischemia of spinal cord,0,-1,-1,-1,-1,-1,-1,-1,-1
81,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0020473,sitosterolaemia,Hyperlipidaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
82,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0004153,sitosterolaemia,Atherosclerosis ,0,-1,-1,-1,-1,-1,-1,-1,-1
83,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0342881,sitosterolaemia,Familial hypercholesterolemia - homozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
84,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0752127,sitosterolaemia,Vascular Diseases Spinal Cord,0,-1,-1,-1,-1,-1,-1,-1,-1
85,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342907,C0342882,sitosterolaemia,Familial hypercholesterolemia - heterozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
86,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0342907,Hypercholesterolaemia ,sitosterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
87,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0020474,Hypercholesterolaemia ,Familial combined hyperlipidaemia,0,0.3333,0.3333,4.231,0.4082,0.7755,0.8333,2.5903,0.2
88,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C2047520,Hypercholesterolaemia ,Mixed hyperlipidemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
89,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0020445,Hypercholesterolaemia ,familial hypercholesterolaemia,0,0.25,0.25,4.231,0.5701,0.8283,0.8,2.3026,0.1854
90,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0002940,Hypercholesterolaemia ,Aneurysm ,0,0.1,0.1,0.9555,0.1549,0.2284,0.4762,1.3863,0.138
91,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0333482,Hypercholesterolaemia ,atherosclerotic,0,-1,-1,-1,-1,-1,-1,-1,-1
92,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0752130,Hypercholesterolaemia ,Ischemia of spinal cord,0,0.0909,0.0909,0.9555,0.1155,0.1809,0.4545,1.291,0.1354
93,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0020473,Hypercholesterolaemia ,Hyperlipidaemia ,0,0.5,0.5,4.231,2.3401,0.9519,0.8696,2.9957,0.2242
94,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0004153,Hypercholesterolaemia ,Atherosclerosis ,0,0.0833,0.0833,0.9555,0.1426,0.2142,0.4348,1.204,0.1332
95,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0342881,Hypercholesterolaemia ,Familial hypercholesterolemia - homozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
96,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0752127,Hypercholesterolaemia ,Vascular Diseases Spinal Cord,0,0.1,0.1,0.9555,0.1157,0.181,0.4762,1.3863,0.138
97,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0020443,C0342882,Hypercholesterolaemia ,Familial hypercholesterolemia - heterozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
98,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0342907,Familial hypercholesterolemia - heterozygous,sitosterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
99,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0020474,Familial hypercholesterolemia - heterozygous,Familial combined hyperlipidaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
100,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C2047520,Familial hypercholesterolemia - heterozygous,Mixed hyperlipidemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
101,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0020443,Familial hypercholesterolemia - heterozygous,Hypercholesterolaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
102,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0020445,Familial hypercholesterolemia - heterozygous,familial hypercholesterolaemia,0,-1,-1,-1,-1,-1,-1,-1,-1
103,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0002940,Familial hypercholesterolemia - heterozygous,Aneurysm ,0,-1,-1,-1,-1,-1,-1,-1,-1
104,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0333482,Familial hypercholesterolemia - heterozygous,atherosclerotic,0,-1,-1,-1,-1,-1,-1,-1,-1
105,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0752130,Familial hypercholesterolemia - heterozygous,Ischemia of spinal cord,0,-1,-1,-1,-1,-1,-1,-1,-1
106,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0020473,Familial hypercholesterolemia - heterozygous,Hyperlipidaemia ,0,-1,-1,-1,-1,-1,-1,-1,-1
107,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0004153,Familial hypercholesterolemia - heterozygous,Atherosclerosis ,0,-1,-1,-1,-1,-1,-1,-1,-1
108,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0342881,Familial hypercholesterolemia - heterozygous,Familial hypercholesterolemia - homozygous,0,-1,-1,-1,-1,-1,-1,-1,-1
109,C10AX09,ezetimibe                                                                                                                                                                                                                                                 ,C0342882,C0752127,Familial hypercholesterolemia - heterozygous,Vascular Diseases Spinal Cord,0,-1,-1,-1,-1,-1,-1,-1,-1
110,C10AC04,colesevelam                                                                                                                                                                                                                                               ,C0020443,C0011860,Hypercholesterolaemia ,Non-Insulin Dependent Diabetes Mellitus,0,0.125,0.125,2.0539,0.2502,0.5068,0.6087,1.6094,0.1486
111,C10AC04,colesevelam                                                                                                                                                                                                                                               ,C0020443,C0020445,Hypercholesterolaemia ,familial hypercholesterolaemia,0,0.25,0.25,4.231,0.5701,0.8283,0.8,2.3026,0.1854
112,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0342879,Cerebrovascular accident ,primary hypercholesterolemia,0,-1,-1,-1,-1,-1,-1,-1,-1
113,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0010054,Cerebrovascular accident ,Coronary Arteriosclerosis,0,-1,-1,-1,-1,-1,-1,-1,-1
114,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020474,Cerebrovascular accident ,Familial combined hyperlipidaemia,0,0.1,0.1,0.9555,0.1234,0.1908,0.4762,1.3863,0.138
115,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020443,Cerebrovascular accident ,Hypercholesterolaemia ,0,0.0909,0.0909,0.9555,0.1536,0.2269,0.4545,1.291,0.1354
116,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020479,Cerebrovascular accident ,Type III Hyperlipoproteinemias,0,0.1,0.1,0.9555,0.1188,0.185,0.4762,1.3863,0.138
117,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020445,Cerebrovascular accident ,familial hypercholesterolaemia,0,0.1,0.1,0.9555,0.135,0.205,0.4762,1.3863,0.138
118,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0151744,Cerebrovascular accident ,Myocardial ischemia ,0,0.25,0.25,2.2229,0.3745,0.6248,0.7368,2.3026,0.1738
119,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020557,?,?,0,0.0909,0.0909,0.9555,0.1428,0.2143,0.4545,1.291,0.1354
120,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0020480,Cerebrovascular accident ,Type IV Hyperlipoproteinemias,0,0.1,0.1,0.9555,0.1211,0.1879,0.4762,1.3863,0.138
121,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0003850,Cerebrovascular accident ,Arteriosclerosis ,0,0.2,0.2,2.2229,0.3236,0.59,0.7,2.0794,0.1649
122,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0264694,Cerebrovascular accident ,Chronic myocardial ischemia,0,-1,-1,-1,-1,-1,-1,-1,-1
123,C10AA03,pravastatin                                                                                                                                                                                                                                               ,C0038454,C0023772,Cerebrovascular accident ,Lipid Metabolism Inborn Errors,0,0.1111,0.1111,0.9555,0.1718,0.2471,0.5,1.4917,0.1409
