atc,name,dc_code,other_code,dc_name,other_name,lesk,vector
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0038454,Left ventricular cardiac dysfunction,"Cerebrovascular accident ",420.0,0.3385
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0020538,Left ventricular cardiac dysfunction,"Hypertensive disease ",385.0,0.6582
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0002994,Left ventricular cardiac dysfunction,"Angioedema ",233.0,0.392
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0264716,Left ventricular cardiac dysfunction,chronic heart failure,307.0,0.9077
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0262428,Left ventricular cardiac dysfunction,vascular collagen disease,283.0,0.5291
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0001824,Left ventricular cardiac dysfunction,"Agranulocytosis ",76.0,0.2749
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C1565489,Left ventricular cardiac dysfunction,renal insufficiencies,337.0,0.6046
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C1753303,"Hypertensive disease ",control of blood pressure,-1.0,-1.0
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C4013784,"Hypertensive disease ",Hypertension severe,36.0,0.7995
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039232,fibrillation atrial paroxysmal,Tachycardia Atrioventricular Nodal Reentry,283.0,0.8173
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0085612,fibrillation atrial paroxysmal,"Ventricular arrhythmia ",8019.0,0.8848
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0741292,fibrillation atrial paroxysmal,Paroxysmal atrial flutter,754.0,0.4316
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039240,fibrillation atrial paroxysmal,"Supraventricular tachycardia ",7847.0,0.8943
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0004238,fibrillation atrial paroxysmal,Fibrillation - atrial,57203.0,0.9398
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039232,Paroxysmal atrial flutter,Tachycardia Atrioventricular Nodal Reentry,249.0,0.4128
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0235480,Paroxysmal atrial flutter,fibrillation atrial paroxysmal,754.0,0.4316
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0085612,Paroxysmal atrial flutter,"Ventricular arrhythmia ",923.0,0.2958
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039240,Paroxysmal atrial flutter,"Supraventricular tachycardia ",1215.0,0.2849
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0004238,Paroxysmal atrial flutter,Fibrillation - atrial,809.0,0.3408
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039232,Fibrillation - atrial,Tachycardia Atrioventricular Nodal Reentry,375.0,0.8946
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0235480,Fibrillation - atrial,fibrillation atrial paroxysmal,57203.0,0.9398
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0085612,Fibrillation - atrial,"Ventricular arrhythmia ",177323.0,0.9596
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0741292,Fibrillation - atrial,Paroxysmal atrial flutter,809.0,0.3408
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039240,Fibrillation - atrial,"Supraventricular tachycardia ",93510.0,0.9638
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018801,"Oedema ","Heart failure ",6545.0,0.761
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0020538,"Oedema ","Hypertensive disease ",4881.0,0.6571
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C1514284,"Oedema ",Potassium Deficiency Disorder,23.0,0.0392
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018802,"Oedema ",Failure Congestive Heart,5968.0,0.7541
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0038454,Nephropathy - diabetic,"Cerebrovascular accident ",1232.0,0.5314
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0020538,Nephropathy - diabetic,"Hypertensive disease ",1690.0,0.83
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0027051,Nephropathy - diabetic,"Myocardial infarction ",1359.0,0.6374
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0033687,Nephropathy - diabetic,"Proteinuria ",501.0,0.4515
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0007820,?,?,1943.0,0.5866
L01DB03,"epirubicin                                                                                                                                                                                                                                                ",C0678222,C2216708,?,?,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342907,"Hyperlipidaemia ",sitosterolaemia,1041.0,0.8883
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020474,"Hyperlipidaemia ",Familial combined hyperlipidaemia,2463.0,0.959
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C2047520,"Hyperlipidaemia ","Mixed hyperlipidemia ",8671.0,0.7846
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020443,"Hyperlipidaemia ","Hypercholesterolaemia ",5404.0,0.9536
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020445,"Hyperlipidaemia ",familial hypercholesterolaemia,4128.0,0.8699
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0002940,"Hyperlipidaemia ","Aneurysm ",1712.0,0.6984
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0333482,"Hyperlipidaemia ",atherosclerotic,2.0,0.0432
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752130,"Hyperlipidaemia ",Ischemia of spinal cord,372.0,0.8032
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0004153,"Hyperlipidaemia ","Atherosclerosis ",989.0,0.7318
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342881,"Hyperlipidaemia ",Familial hypercholesterolemia - homozygous,1618.0,0.7131
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752127,"Hyperlipidaemia ",Vascular Diseases Spinal Cord,709.0,0.7311
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342882,"Hyperlipidaemia ",Familial hypercholesterolemia - heterozygous,1618.0,0.7131
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342907,Familial hypercholesterolemia - homozygous,sitosterolaemia,95.0,0.6808
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020474,Familial hypercholesterolemia - homozygous,Familial combined hyperlipidaemia,59.0,0.664
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C2047520,Familial hypercholesterolemia - homozygous,"Mixed hyperlipidemia ",111.0,0.7084
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020443,Familial hypercholesterolemia - homozygous,"Hypercholesterolaemia ",1538.0,0.7453
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020445,Familial hypercholesterolemia - homozygous,familial hypercholesterolaemia,1595.0,0.8754
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0002940,Familial hypercholesterolemia - homozygous,"Aneurysm ",66.0,0.3755
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0333482,Familial hypercholesterolemia - homozygous,atherosclerotic,1.0,0.0247
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752130,Familial hypercholesterolemia - homozygous,Ischemia of spinal cord,56.0,0.3921
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020473,Familial hypercholesterolemia - homozygous,"Hyperlipidaemia ",1618.0,0.7131
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0004153,Familial hypercholesterolemia - homozygous,"Atherosclerosis ",90.0,0.5768
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752127,Familial hypercholesterolemia - homozygous,Vascular Diseases Spinal Cord,41.0,0.4035
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342882,Familial hypercholesterolemia - homozygous,Familial hypercholesterolemia - heterozygous,2982.0,1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020474,sitosterolaemia,Familial combined hyperlipidaemia,303.0,0.8242
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C2047520,sitosterolaemia,"Mixed hyperlipidemia ",190.0,0.7376
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020443,sitosterolaemia,"Hypercholesterolaemia ",897.0,0.886
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020445,sitosterolaemia,familial hypercholesterolaemia,1177.0,0.8685
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0002940,sitosterolaemia,"Aneurysm ",213.0,0.5974
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0333482,sitosterolaemia,atherosclerotic,3.0,0.0801
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0752130,sitosterolaemia,Ischemia of spinal cord,165.0,0.6472
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020473,sitosterolaemia,"Hyperlipidaemia ",1041.0,0.8883
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0004153,sitosterolaemia,"Atherosclerosis ",200.0,0.6743
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0342881,sitosterolaemia,Familial hypercholesterolemia - homozygous,95.0,0.6808
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0752127,sitosterolaemia,Vascular Diseases Spinal Cord,153.0,0.6315
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0342882,sitosterolaemia,Familial hypercholesterolemia - heterozygous,95.0,0.6808
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342907,"Hypercholesterolaemia ",sitosterolaemia,897.0,0.886
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020474,"Hypercholesterolaemia ",Familial combined hyperlipidaemia,336.0,0.9038
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C2047520,"Hypercholesterolaemia ","Mixed hyperlipidemia ",1416.0,0.7379
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020445,"Hypercholesterolaemia ",familial hypercholesterolaemia,2512.0,0.8857
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0002940,"Hypercholesterolaemia ","Aneurysm ",310.0,0.6713
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0333482,"Hypercholesterolaemia ",atherosclerotic,2.0,0.0352
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0752130,"Hypercholesterolaemia ",Ischemia of spinal cord,131.0,0.775
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0020473,"Hypercholesterolaemia ","Hyperlipidaemia ",5404.0,0.9536
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0004153,"Hypercholesterolaemia ","Atherosclerosis ",253.0,0.744
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342881,"Hypercholesterolaemia ",Familial hypercholesterolemia - homozygous,1538.0,0.7453
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0752127,"Hypercholesterolaemia ",Vascular Diseases Spinal Cord,166.0,0.7089
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020443,C0342882,"Hypercholesterolaemia ",Familial hypercholesterolemia - heterozygous,1538.0,0.7453
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0342907,Familial hypercholesterolemia - heterozygous,sitosterolaemia,95.0,0.6808
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020474,Familial hypercholesterolemia - heterozygous,Familial combined hyperlipidaemia,59.0,0.664
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C2047520,Familial hypercholesterolemia - heterozygous,"Mixed hyperlipidemia ",111.0,0.7084
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020443,Familial hypercholesterolemia - heterozygous,"Hypercholesterolaemia ",1538.0,0.7453
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020445,Familial hypercholesterolemia - heterozygous,familial hypercholesterolaemia,1595.0,0.8754
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0002940,Familial hypercholesterolemia - heterozygous,"Aneurysm ",66.0,0.3755
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0333482,Familial hypercholesterolemia - heterozygous,atherosclerotic,1.0,0.0247
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0752130,Familial hypercholesterolemia - heterozygous,Ischemia of spinal cord,56.0,0.3921
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0020473,Familial hypercholesterolemia - heterozygous,"Hyperlipidaemia ",1618.0,0.7131
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0004153,Familial hypercholesterolemia - heterozygous,"Atherosclerosis ",90.0,0.5768
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0342881,Familial hypercholesterolemia - heterozygous,Familial hypercholesterolemia - homozygous,2982.0,1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342882,C0752127,Familial hypercholesterolemia - heterozygous,Vascular Diseases Spinal Cord,41.0,0.4035
C10AC04,"colesevelam                                                                                                                                                                                                                                               ",C0020443,C0011860,"Hypercholesterolaemia ",Non-Insulin Dependent Diabetes Mellitus,175.0,0.65
C10AC04,"colesevelam                                                                                                                                                                                                                                               ",C0020443,C0020445,"Hypercholesterolaemia ",familial hypercholesterolaemia,2512.0,0.8857
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0342879,"Cerebrovascular accident ",primary hypercholesterolemia,194.0,0.4447
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0010054,"Cerebrovascular accident ",Coronary Arteriosclerosis,2018.0,0.5115
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020474,"Cerebrovascular accident ",Familial combined hyperlipidaemia,111.0,0.5547
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020443,"Cerebrovascular accident ","Hypercholesterolaemia ",283.0,0.5435
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020479,"Cerebrovascular accident ",Type III Hyperlipoproteinemias,566.0,0.5117
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020445,"Cerebrovascular accident ",familial hypercholesterolaemia,296.0,0.4519
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0151744,"Cerebrovascular accident ","Myocardial ischemia ",31659.0,0.5353
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020557,?,?,361.0,0.5184
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0020480,"Cerebrovascular accident ",Type IV Hyperlipoproteinemias,435.0,0.5734
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0003850,"Cerebrovascular accident ","Arteriosclerosis ",29564.0,0.6346
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0264694,"Cerebrovascular accident ",Chronic myocardial ischemia,1219.0,0.6236
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0023772,"Cerebrovascular accident ",Lipid Metabolism Inborn Errors,977.0,0.4043
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0027051,"Cerebrovascular accident ","Myocardial infarction ",2349.0,0.5247
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0342882,"Cerebrovascular accident ",Familial hypercholesterolemia - heterozygous,77.0,0.308
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0038454,C0010068,"Cerebrovascular accident ",Heart Diseases Coronary,1878.0,0.444
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0038454,"Arteriosclerosis ","Cerebrovascular accident ",29564.0,0.6346
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0342879,"Arteriosclerosis ",primary hypercholesterolemia,287.0,0.6048
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0010054,"Arteriosclerosis ",Coronary Arteriosclerosis,167283.0,0.9305
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020474,"Arteriosclerosis ",Familial combined hyperlipidaemia,130.0,0.6951
C10AA03,"pravastatin                                                                                                                                                                                                                                               ",C0003850,C0020443,"Arteriosclerosis ","Hypercholesterolaemia ",318.0,0.6946
